region,year,infant_mortality,region_standard
        Архангельская область,1994,80.0,Архангельская область
            Ненецкий автономный округ (Архангельская область),1994,6.0,Ненецкий автономный округ
        Вологодская область,1994,91.0,Вологодская область
        Калининградская область,1994,58.0,Калининградская область
        Ленинградская область,1994,60.0,Ленинградская область
        Мурманская область,1994,12.0,Мурманская область
        Новгородская область,1994,46.0,Новгородская область
        Псковская область,1994,54.0,Псковская область
        Город Санкт-Петербург город федерального значения,1994,0.0,Санкт-Петербург
        Республика Адыгея (Адыгея),1994,44.0,Республика Адыгея
        Республика Калмыкия,1994,50.0,Республика Калмыкия
        Краснодарский край,1994,520.0,Краснодарский край
        Астраханская область,1994,62.0,Астраханская область
        Волгоградская область,1994,185.0,Волгоградская область
        Ростовская область,1994,327.0,Ростовская область
        Республика Дагестан,1994,599.0,Республика Дагестан
        Республика Ингушетия,1994,0.0,Республика Ингушетия
        Кабардино-Балкарская Республика,1994,109.0,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,1994,48.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,1994,44.0,Республика Северная Осетия - Алания
        Чеченская Республика,1994,0.0,Чеченская Республика
        Ставропольский край,1994,287.0,Ставропольский край
        Республика Башкортостан,1994,350.0,Республика Башкортостан
        Республика Марий Эл,1994,59.0,Республика Марий Эл
        Республика Мордовия,1994,43.0,Республика Мордовия
        Республика Татарстан (Татарстан),1994,267.0,Республика Татарстан
        Удмуртская Республика,1994,117.0,Удмуртская Республика
        Чувашская Республика - Чувашия,1994,100.0,Чувашская Республика
        Пермский край,1994,183.0,Пермский край
        Кировская область,1994,72.0,Кировская область
        Нижегородская область,1994,134.0,Нижегородская область
        Оренбургская область,1994,188.0,Оренбургская область
        Пензенская область,1994,75.0,Пензенская область
        Самарская область,1994,100.0,Самарская область
        Саратовская область,1994,203.0,Саратовская область
        Ульяновская область,1994,104.0,Ульяновская область
        Курганская область,1994,121.0,Курганская область
        Свердловская область,1994,175.0,Свердловская область
        Тюменская область,1994,176.0,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),1994,25.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),1994,38.0,Ямало-Ненецкий автономный округ
        Челябинская область,1994,167.0,Челябинская область
        Республика Алтай,1994,59.0,Республика Алтай
        Республика Тыва,1994,93.0,Республика Тыва
        Республика Хакасия,1994,57.0,Республика Хакасия
        Алтайский край,1994,226.0,Алтайский край
        Красноярский край,1994,239.0,Красноярский край
        Иркутская область,1994,210.0,Иркутская область
        Кемеровская область - Кузбасс,1994,127.0,Кемеровская область
        Новосибирская область,1994,165.0,Новосибирская область
        Омская область,1994,169.0,Омская область
        Томская область,1994,76.0,Томская область
        Республика Бурятия,1994,90.0,Республика Бурятия
        Забайкальский край,1994,139.0,Забайкальский край
            Агинский Бурятский округ (Забайкальский край),1994,11.0,Забайкальский край
        Республика Саха (Якутия),1994,193.0,Республика Саха (Якутия)
        Камчатский край,1994,21.0,Камчатский край
        Приморский край,1994,123.0,Приморский край
        Хабаровский край,1994,69.0,Хабаровский край
        Амурская область,1994,111.0,Амурская область
        Магаданская область,1994,8.0,Магаданская область
        Сахалинская область,1994,18.0,Сахалинская область
        Еврейская автономная область,1994,31.0,Еврейская автономная область
        Чукотский автономный округ,1994,14.0,Чукотский автономный округ
        Белгородская область,1995,72.0,Белгородская область
        Брянская область,1995,104.0,Брянская область
        Владимирская область,1995,50.0,Владимирская область
        Воронежская область,1995,137.0,Воронежская область
        Ивановская область,1995,41.0,Ивановская область
        Калужская область,1995,51.0,Калужская область
        Костромская область,1995,56.0,Костромская область
        Курская область,1995,63.0,Курская область
        Липецкая область,1995,83.0,Липецкая область
        Московская область,1995,154.0,Московская область
        Орловская область,1995,79.0,Орловская область
        Рязанская область,1995,65.0,Рязанская область
        Смоленская область,1995,62.0,Смоленская область
        Тамбовская область,1995,102.0,Тамбовская область
        Тверская область,1995,88.0,Тверская область
        Тульская область,1995,74.0,Тульская область
        Ярославская область,1995,40.0,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,1995,0.0,Москва
        Республика Карелия,1995,30.0,Республика Карелия
        Республика Коми,1995,83.0,Республика Коми
        Архангельская область,1995,65.0,Архангельская область
            Ненецкий автономный округ (Архангельская область),1995,9.0,Ненецкий автономный округ
        Вологодская область,1995,80.0,Вологодская область
        Калининградская область,1995,44.0,Калининградская область
        Ленинградская область,1995,51.0,Ленинградская область
        Мурманская область,1995,16.0,Мурманская область
        Новгородская область,1995,49.0,Новгородская область
        Псковская область,1995,38.0,Псковская область
        Город Санкт-Петербург город федерального значения,1995,0.0,Санкт-Петербург
        Республика Адыгея (Адыгея),1995,44.0,Республика Адыгея
        Республика Калмыкия,1995,38.0,Республика Калмыкия
        Краснодарский край,1995,470.0,Краснодарский край
