region,not_crowded_pct,somewhat_crowded_pct,very_crowded_pct,no_answer_pct,total_area_per_person,living_area_per_person,rooms_per_household,intend_improve_housing,intend_due_to_crowding,intend_due_to_bad_condition,intend_due_to_both,plan_dolevka,plan_queue,plan_resettle,plan_buy_or_build,plan_rent,plan_other,no_answer,not_intending_to_improve,year,region_standard
Красноярский край,83.3,12.9,3.8,0.0,22.7,16.6,2.3,17.7,7.4,1.8,0.8,4.1,6.5,0.6,35.3,8.3,46.3,0.5,82.3,2020,Красноярский край
Курганская область,85.6,10.5,3.9,0.0,23.0,16.7,2.4,26.1,5.7,3.2,0.9,3.7,0.5,0,15.9,2.3,77.6,0,73.9,2020,Курганская область
Курская область,85.0,13.3,1.7,0.0,24.4,17.1,2.4,16.6,5.7,0.6,0.0,10.2,2.6,2,30.7,4.4,50.3,0,83.4,2020,Курская область
Ленинградская область,79.8,15.7,4.5,0.0,24.7,17.0,2.1,12.2,7.2,3.0,1.6,10.6,8.3,23.1,52.5,0,5.4,0,87.5,2020,Ленинградская область
Липецкая область,82.5,13.5,4.0,0.0,24.5,16.5,2.5,10.3,3.1,0.2,0.0,4.7,4.7,1.2,41.1,3,45.2,0,89.7,2020,Липецкая область
Магаданская область,80.3,15.7,4.1,0.0,23.7,13.8,1.9,16.4,11.4,0.2,0.0,...,...,...,...,...,...,...,83.6,2020,Магаданская область
Московская область,77.8,17.3,4.4,0.5,22.3,14.8,2.1,11.0,6.1,1.0,0.5,16,6.4,2.3,46.7,3.5,21.7,3.5,86.5,2020,Московская область
Мурманская область,83.6,12.7,3.7,0.0,23.9,17.7,2.2,18.3,6.8,2.4,0.6,5.9,8.8,1.3,53.9,0,30,0,80.8,2020,Мурманская область
Ненецкий авт. округ,81.0,18.6,0.4,0.0,31.5,20.9,2.7,21.7,12.8,5.9,4.1,...,...,...,...,...,...,...,75.7,2020,Ненецкий автономный округ
Нижегородская область,80.8,16.5,2.7,0.0,24.0,17.5,2.3,8.8,3.9,0.5,0.2,5.4,1.9,0,42.4,9.8,39.6,1.9,91.2,2020,Нижегородская область
Новгородская область,86.3,12.5,1.2,0.0,25.6,17.6,2.3,12.7,3.9,0.4,0.0,...,...,...,...,...,...,...,86.3,2020,Новгородская область
Новосибирская область,78.6,16.9,4.5,0.0,23.2,16.3,2.3,12.0,5.7,1.8,1.1,12.6,2.8,8.6,32,1.8,42.3,0,87.8,2020,Новосибирская область
Омская область,84.6,12.8,2.6,0.0,23.4,16.9,2.5,15.1,5.6,0.8,0.3,6.7,1.8,0,33.3,4.5,53.6,0,84.9,2020,Омская область
Оренбургская область,80.2,16.3,3.3,0.2,25.9,19.0,2.8,13.4,4.6,1.8,1.0,5.6,5.8,3.7,41.2,1.6,42.1,0,86.6,2020,Оренбургская область
Орловская область,83.4,10.3,6.3,0.0,29.2,18.8,2.7,14.6,5.8,1.4,0.3,...,...,...,...,...,...,...,85.4,2020,Орловская область
Пензенская область,82.9,12.7,3.9,0.4,23.4,16.9,2.5,8.3,2.3,0.2,0.1,...,...,...,...,...,...,...,88.7,2020,Пензенская область
Пермский край,84.6,12.3,3.1,0.0,22.7,16.0,2.4,15.1,5.3,1.5,0.4,11,1.6,13.7,29.7,4.9,39.1,0,84.9,2020,Пермский край
