region,year,retail_per_capita,region_standard
        Оренбургская область,2003,14087.0,Оренбургская область
        Пензенская область,2003,17433.0,Пензенская область
        Самарская область,2003,45786.0,Самарская область
        Саратовская область,2003,20543.0,Саратовская область
        Ульяновская область,2003,20951.0,Ульяновская область
    Уральский федеральный округ,2003,30934.0,
        Курганская область,2003,17951.0,Курганская область
        Свердловская область,2003,30104.0,Свердловская область
        Тюменская область,2003,44680.0,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),2003,52381.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),2003,53012.0,Ямало-Ненецкий автономный округ
            Тюменская область (без АО),2003,0.0,Тюменская область
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2003,0.0,Тюменская область
        Челябинская область,2003,23051.0,Челябинская область
    Сибирский федеральный округ,2003,26527.0,
        Республика Алтай,2003,13842.0,Республика Алтай
        Республика Тыва,2003,11734.0,Республика Тыва
        Республика Хакасия,2003,17027.0,Республика Хакасия
        Алтайский край,2003,20534.0,Алтайский край
        Красноярский край,2003,30485.0,Красноярский край
        Иркутская область,2003,26310.0,Иркутская область
        Кемеровская область - Кузбасс,2003,30641.0,Кемеровская область
        Новосибирская область,2003,30935.0,Новосибирская область
        Омская область,2003,26222.0,Омская область
        Томская область,2003,27633.0,Томская область
    Дальневосточный федеральный округ,2003,28770.0,
        Республика Бурятия,2003,22842.0,Республика Бурятия
        Забайкальский край,2003,23107.0,Забайкальский край
        Республика Саха (Якутия),2003,42438.0,Республика Саха (Якутия)
        Камчатский край,2003,30764.0,Камчатский край
        Приморский край,2003,24917.0,Приморский край
        Хабаровский край,2003,27673.0,Хабаровский край
        Амурская область,2003,20378.0,Амурская область
        Магаданская область,2003,29511.0,Магаданская область
        Сахалинская область,2003,35556.0,Сахалинская область
        Еврейская автономная область,2003,23575.0,Еврейская автономная область
        Чукотский автономный округ,2003,38253.0,Чукотский автономный округ
Российская Федерация,2004,39166.0,
    Центральный федеральный округ,2004,57011.0,
        Белгородская область,2004,24168.0,Белгородская область
        Брянская область,2004,22849.0,Брянская область
        Владимирская область,2004,16584.0,Владимирская область
        Воронежская область,2004,28294.0,Воронежская область
        Ивановская область,2004,15505.0,Ивановская область
        Калужская область,2004,30334.0,Калужская область
        Костромская область,2004,22502.0,Костромская область
        Курская область,2004,25340.0,Курская область
        Липецкая область,2004,28438.0,Липецкая область
        Московская область,2004,42511.0,Московская область
        Орловская область,2004,25392.0,Орловская область
        Рязанская область,2004,24872.0,Рязанская область
        Смоленская область,2004,29930.0,Смоленская область
        Тамбовская область,2004,25425.0,Тамбовская область
        Тверская область,2004,28129.0,Тверская область
        Тульская область,2004,23647.0,Тульская область
        Ярославская область,2004,23650.0,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,2004,128880.0,Москва
    Северо-Западный федеральный округ,2004,38149.0,
        Республика Карелия,2004,34855.0,Республика Карелия
        Республика Коми,2004,56043.0,Республика Коми
        Архангельская область,2004,33554.0,Архангельская область
            Ненецкий автономный округ (Архангельская область),2004,38974.0,Ненецкий автономный округ
            Архангельская область (без АО),2004,0.0,Архангельская область
            Архангельская область (кроме Ненецкого автономного округа),2004,0.0,Архангельская область
        Вологодская область,2004,25152.0,Вологодская область
        Калининградская область,2004,30499.0,Калининградская область
        Ленинградская область,2004,27424.0,Ленинградская область
        Мурманская область,2004,45445.0,Мурманская область
        Новгородская область,2004,27018.0,Новгородская область
        Псковская область,2004,32360.0,Псковская область
        Город Санкт-Петербург город федерального значения,2004,46188.0,Санкт-Петербург
    Южный федеральный округ (с 2010 года),2004,31493.0,
        Республика Адыгея (Адыгея),2004,19762.0,Республика Адыгея
        Республика Калмыкия,2004,10254.0,Республика Калмыкия
